title,price,currency,year,mileage,brand,model,trim,body_type,fuel_type,transmission,color,interior_color,cylinders,horsepower,engine_cc,doors,specs_origin,seller_type,location,url,photos_count,has_warranty,source,scraped_at,extraction_method,dealer,publish_date,is_new,listing_id,brand_origin,brand_tier,price_tier,car_age,price_per_age,mileage_per_year,quality_score,price_vs_market,cross_source_flag
New Mercedes-Benz CLA 200 2026,174000.0,AED,2026.0,0.0,Mercedes-Benz,CLA 200,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-mercedes-benz-cla-200-mercedes-benz-cla-200-2026-full-options-amg-package-0-km-agency-warranty-mercedes-benz-cla-200-956183.html,25,,dubicars,2026-04-28T13:42:00.829073,dom,,,True,956183.0,German,luxury,Premium,0.0,,,78,-0.41,Normal
New Mercedes Maybach V Class Maybach 2026,319000.0,AED,2026.0,0.0,Mercedes-Benz,Maybach V Class Maybach,,Van/MPV,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-mercedes-maybach-v-class-maybach-v300-avantgarde-gcc-0km-agency-warranty-360-view-64-colors-ambeint-lights-950505.html,20,,dubicars,2026-04-28T13:37:30.488995,dom,,,True,950505.0,German,luxury,Luxury,0.0,,,88,,Normal
New Mercedes-Benz A 200 AMG 2026,189000.0,AED,2026.0,0.0,Mercedes-Benz,A 200 AMG,,Unknown,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-mercedes-benz-a-200-amg-mercedes-benz-a200-gcc-specs-gargash-car-under-5-years-warranty-881062.html,16,,dubicars,2026-04-28T13:37:30.486351,dom,,,True,881062.0,German,luxury,Premium,0.0,,,83,1.75,Normal
New Mercedes-Benz GLE 53 AMG 2026,475000.0,AED,2026.0,0.0,Mercedes-Benz,GLE 53 AMG,,Unknown,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-mercedes-benz-gle-53-amg-4matic-plus-gcc-2-years-unlimited-mileage-warranty-964640.html,23,,dubicars,2026-04-28T13:36:30.131593,dom,,,True,964640.0,German,luxury,Luxury,0.0,,,83,,Normal
New Mercedes-Benz G 63 AMG 2026,1795000.0,AED,2026.0,0.0,Mercedes-Benz,G 63 AMG,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-mercedes-benz-g-63-amg-2026-mercedes-benz-brabus-g800-original-brabus-certificate-943127.html,30,,dubicars,2026-04-28T13:36:01.060762,dom,,,True,943127.0,German,luxury,Exotic,0.0,,,78,2.93,Overpriced ⚠️
New Mercedes-Benz E300 2026,298999.0,AED,2026.0,0.0,Mercedes-Benz,E300,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-mercedes-benz-e300-amg-971113.html,17,,dubicars,2026-04-28T13:35:35.726805,dom,,,True,971113.0,German,luxury,Luxury,0.0,,,78,-1.04,Normal
New Mercedes-Benz G 63 AMG 2026,1130000.0,AED,2026.0,0.0,Mercedes-Benz,G 63 AMG,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-mercedes-benz-g-63-amg-double-night-packfully-loaded2026-fully-cardbon-fiber-gargash-auto-warranty-perfomance-package-934753.html,27,,dubicars,2026-04-28T13:35:35.726109,dom,,,True,934753.0,German,luxury,Ultra-Luxury,0.0,,,78,0.51,Normal
New Mercedes-Benz CLA 200 2026,175000.0,AED,2026.0,20.0,Mercedes-Benz,CLA 200,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-mercedes-benz-cla-200-928579.html,15,,dubicars,2026-04-28T13:37:43.299918,dom,,,True,928579.0,German,luxury,Premium,0.0,,,78,-0.27,Normal
New Rolls-Royce Cullinan 2026,2350000.0,AED,2026.0,36.0,Rolls-Royce,Cullinan,,SUV,Petrol,Automatic,,,,,,,GCC Spec,dealer,,https://www.dubicars.com/2026-rolls-royce-cullinan-2026-gcc-specs-under-warranty-and-service-contract-926842.html,20,,dubicars,2026-04-28T16:53:41.582245,dom,,,True,926842.0,British,exotic,Exotic,0.0,,,88,-0.12,Normal
New Mercedes-Benz G 63 AMG 2026,898000.0,AED,2026.0,0.0,Mercedes-Benz,G 63 AMG,,Unknown,Petrol,Automatic,,,,,,,Unknown,dealer,,https://www.dubicars.com/2026-mercedes-benz-g-63-amg-mercedes-g63-amg-2026-970575.html,26,,dubicars,2026-04-28T13:39:45.593994,dom,,,True,970575.0,German,luxury,Ultra-Luxury,0.0,,,78,-0.33,Normal
